team,championships,years,stack,logo
Golden State Warriors,3,1975<p>Philadelphia Warriors</p>1947 1956,1,./teams/GSW/logos/1988.png
New York Knicks,2,1970 1973,1,./teams/NYK/logos/1995.png
Boston Celtics,16,1957 1959 1960 1961 1962 1963 1964 1965 1966 1968 1969 1974 1976 1981 1984 1986,1,./teams/BOS/logos/1969.png
Los Angeles Lakers,11,1972 1980 1982 1985 1987 1988<p>Minneapolis Lakers</p>1949 1950 1952 1953 1954,1,./teams/LAL/logos/1975.png
Sacramento Kings,1,None<p>Rochester Royals</p>1951,1,./teams/SAC/logos/1994.png
Detroit Pistons,2,1989 1990,2,./teams/DET/logos/1978.png
Atlanta Hawks,1,1958,2,./teams/ATL/logos/1995.png
Philadelphia 76ers,3,1967 1983<p>Syracuse Nationals</p>1955,2,./teams/PHI/logos/1977.png
Washington Bullets,1,1978,5,./teams/WAS/logos/1987.png
Chicago Bulls,4,1991 1992 1993 1996,1,./teams/CHI/logos/1966.png
Seattle SuperSonics,1,1979,6,./teams/OKC/logos/1995.png
Houston Rockets,2,1994 1995,3,./teams/HOU/logos/1995.png
Phoenix Suns,0,None,1,./teams/PHO/logos/1992.png
Milwaukee Bucks,1,1971,3,./teams/MIL/logos/1993.png
Portland Trail Blazers,1,1977,4,./teams/POR/logos/1990.png
Cleveland Cavaliers,0,None,3,./teams/CLE/logos/1994.png
Los Angeles Clippers,0,None,2,./teams/LAC/logos/1984.png
Utah Jazz,0,None,4,./teams/UTA/logos/1979.png
New Jersey Nets,0,None,5,./teams/BRK/logos/1990.png
Indiana Pacers,0,None,6,./teams/IND/logos/1990.png
Denver Nuggets,0,None,7,./teams/DEN/logos/1993.png
San Antonio Spurs,0,None,8,./teams/SAS/logos/1976.png
Dallas Mavericks,0,None,9,./teams/DAL/logos/1993.png
Charlotte Hornets,0,None,10,./teams/CHA/logos/1988.png
Miami Heat,0,None,11,./teams/MIA/logos/1988.png
Orlando Magic,0,None,12,./teams/ORL/logos/1989.png
Minnesota Timberwolves,0,None,13,./teams/MIN/logos/1989.png
Vancouver Grizzlies,0,None,14,./teams/MEM/logos/1995.png
Toronto Raptors,0,None,15,./teams/TOR/logos/1995.png
