team,championships,years,stack,logo
Philadelphia Warriors,1,1947,1,./teams/GSW/logos/1952-1962.png
New York Knicks,0,None,2,./teams/NYK/logos/1946-1964.png
Boston Celtics,0,None,1,./teams/BOS/logos/1951-1960.png
Baltimore Bullets,1,1948,2,./teams/BAL/logos/1948-1954.png
Minneapolis Lakers,3,1949 1950 1952,1,./teams/LAL/logos/1949-1960.png
Rochester Royals,1,1951,3,./teams/SAC/logos/1949-1957.png
Fort Wayne Pistons,0,None,3,./teams/DET/logos/1949-1957.png
Milwaukee Hawks,0,None,5,./teams/ATL/logos/1952-1955.png
Syracuse Nationals,0,None,4,./teams/PHI/logos/1950-1963.png
