team,championships,years,stack,logo
San Francisco Warriors,2,None<p>Philadelphia Warriors</p>1947 1956,1,./teams/GSW/logos/1963-1969.png
New York Knicks,0,None,1,./teams/NYK/logos/1965-1979.png
Boston Celtics,10,1957 1959 1960 1961 1962 1963 1964 1965 1966 1968,1,./teams/BOS/logos/1961-1968.png
Los Angeles Lakers,5,None<p>Minneapolis Lakers</p>1949 1950 1952 1953 1954,1,./teams/LAL/logos/1961-1976.png
Cincinnati Royals,1,None<p>Rochester Royals</p>1951,1,./teams/SAC/logos/1958-1971.png
Detroit Pistons,0,None,2,./teams/DET/logos/1958-1971.png
St. Louis Hawks,1,1958,2,./teams/ATL/logos/1958-1968.png
Philadelphia 76ers,2,1967<p>Syracuse Nationals</p>1955,2,./teams/PHI/logos/1964-1977.png
Baltimore Bullets,0,None,3,./teams/WAS/logos/1964-1968.png
Chicago Bulls,0,None,4,./teams/CHI/logos/1967-present.png
Seattle SuperSonics,0,None,5,./teams/OKC/logos/1968-1970.png
San Diego Rockets,0,None,6,./teams/HOU/logos/1968-1971.png
