team,championships,stack,logo
GSW,3,1,./teams/GSW/logos/1976-1988.png
NYK,2,2,./teams/NYK/logos/1965-1979.png
BOS,13,1,./teams/BOS/logos/1975-1996.png
LAL,6,1,./teams/LAL/logos/1977-2001.png
SAC,1,1,./teams/SAC/logos/1976-1985.png
DET,0,1,./teams/DET/logos/1976-1979.png
ATL,1,2,./teams/ATL/logos/1973-1995.png
PHI,2,1,./teams/PHI/logos/1978-1997.png
WAS,1,5,./teams/WAS/logos/1975-1987.png
CHI,0,2,./teams/CHI/logos/1967-present.png
OKC,0,3,./teams/OKC/logos/1976-1995.png
HOU,0,4,./teams/HOU/logos/1973-1995.png
PHO,0,5,./teams/PHO/logos/1969-1992.png
MIL,1,3,./teams/MIL/logos/1969-1993.png
POR,1,4,./teams/POR/logos/1971-1990.png
CLE,0,7,./teams/CLE/logos/1971-1983.png
LAC,0,6,./teams/LAC/logos/1972-1978.png
UTA,0,8,./teams/UTA/logos/1975-1979.png
BKN,0,9,./teams/BKN/logos/1978.png
IND,0,10,./teams/IND/logos/1977-1990.png
DEN,0,11,./teams/DEN/logos/1977-1981.png
SAS,0,12,./teams/SAS/logos/1977-1989.png
