team,championships,stack,logo
GSW,4,1,./teams/GSW/logos/2011-2019.png
NYK,2,1,./teams/NYK/logos/2011-present.png
BOS,17,1,./teams/BOS/logos/1997-present.png
LAL,16,1,./teams/LAL/logos/2002-present.png
SAC,1,1,./teams/SAC/logos/1995-2016.png
DET,3,2,./teams/DET/logos/2006-2017.png
ATL,1,2,./teams/ATL/logos/2016-present.png
PHI,3,1,./teams/PHI/logos/2016-present.png
WAS,1,5,./teams/WAS/logos/2015-present.png
CHI,6,1,./teams/CHI/logos/1967-present.png
OKC,1,6,./teams/OKC/logos/2009-present.png
HOU,2,2,./teams/HOU/logos/2004-2018.png
PHO,0,1,./teams/PHO/logos/2014-present.png
MIL,1,3,./teams/MIL/logos/2016-present.png
POR,1,4,./teams/POR/logos/2005-2017.png
CLE,1,8,./teams/CLE/logos/2011-2017.png
LAC,0,2,./teams/LAC/logos/2016-present.png
UTA,0,3,./teams/UTA/logos/2011-2016.png
BKN,0,4,./teams/BKN/logos/2013-present.png
IND,0,5,./teams/IND/logos/2006-2017.png
DEN,0,6,./teams/DEN/logos/2009-2018.png
SAS,5,1,./teams/SAS/logos/2003-2017.png
DAL,1,7,./teams/DAL/logos/2002-2017.png
NOP,0,7,./teams/NOP/logos/2014-present.png
MIA,3,3,./teams/MIA/logos/2000-present.png
ORL,0,8,./teams/ORL/logos/2011-present.png
MIN,0,9,./teams/MIN/logos/2009-2017.png
MEM,0,10,./teams/MEM/logos/2005-2018.png
TOR,0,11,./teams/TOR/logos/2016-present.png
CHA,0,12,./teams/CHA/logos/2015-present.png
